日期,时段,开始时间,结束时间,电站名称,电压(V),电流(A),功率(kW),电量,换电次数(次),充电次数(次)
2025/5/28,23:30-23:45,23:30,23:45,唐山海宜路1号站,657,791.7,521.4,129.07,0,0
2025/5/28,23:15-23:30,23:15,23:30,唐山海宜路1号站,652.3,614.9,401.7,98.42,1,0
2025/5/28,23:00-23:15,23:00,23:15,唐山海宜路1号站,651.1,658.9,428.9,105.94,0,0
2025/5/28,22:45-23:00,22:45,23:00,唐山海宜路1号站,654,611.9,400.9,99.07,1,0
2025/5/28,22:30-22:45,22:30,22:45,唐山海宜路1号站,650.1,657.6,428.5,105.75,1,0
2025/5/28,22:15-22:30,22:15,22:30,唐山海宜路1号站,650.8,1081.9,710.8,175.5,0,0
2025/5/28,22:00-22:15,22:00,22:15,唐山海宜路1号站,656.5,763.4,502,120.16,1,0
2025/5/28,21:45-22:00,21:45,22:00,唐山海宜路1号站,658,791.8,522.5,125.9,1,0
2025/5/28,21:30-21:45,21:30,21:45,唐山海宜路1号站,655,775.5,509.6,123.13,1,0
2025/5/28,21:15-21:30,21:15,21:30,唐山海宜路1号站,650.6,430.6,280.4,69.33,1,0
2025/5/28,21:00-21:15,21:00,21:15,唐山海宜路1号站,651,330.8,215.5,53.16,1,0
2025/5/28,20:45-21:00,20:45,21:00,唐山海宜路1号站,434.6,139.7,90.9,21.97,1,0
2025/5/28,20:30-20:45,20:30,20:45,唐山海宜路1号站,668.2,248.9,166.4,41.66,0,0
2025/5/28,20:15-20:30,20:15,20:30,唐山海宜路1号站,663.2,478.3,317.3,77.93,0,0
2025/5/28,20:00-20:15,20:00,20:15,唐山海宜路1号站,642.7,690.8,455.4,109.34,0,0
2025/5/28,19:45-20:00,19:45,20:00,唐山海宜路1号站,660.9,977.1,646.8,153.4,1,0
2025/5/28,19:30-19:45,19:30,19:45,唐山海宜路1号站,657.4,1189,784,192.64,0,0
2025/5/28,19:15-19:30,19:15,19:30,唐山海宜路1号站,650.5,513.1,336.1,81.46,2,0
2025/5/28,19:00-19:15,19:00,19:15,唐山海宜路1号站,430,124,80,18.98,1,0
2025/5/28,18:45-19:00,18:45,19:00,唐山海宜路1号站,0,0,0,0,1,0
2025/5/28,18:30-18:45,18:30,18:45,唐山海宜路1号站,0,0,0,0,0,0
2025/5/28,18:15-18:30,18:15,18:30,唐山海宜路1号站,625,189.8,127.5,32.1,0,0
2025/5/28,18:00-18:15,18:00,18:15,唐山海宜路1号站,581.3,288.2,193.3,46.85,0,0
2025/5/28,17:45-18:00,17:45,18:00,唐山海宜路1号站,104.1,17,9.3,0.98,0,0
2025/5/28,17:30-17:45,17:30,17:45,唐山海宜路1号站,0,0,0,0,0,0
2025/5/28,17:15-17:30,17:15,17:30,唐山海宜路1号站,662.6,471.3,312.6,77.39,0,0
2025/5/28,17:00-17:15,17:00,17:15,唐山海宜路1号站,660,896.3,591.6,146.12,0,0
2025/5/28,16:45-17:00,16:45,17:00,唐山海宜路1号站,659,1182.5,779.2,192.7,0,0
2025/5/28,16:30-16:45,16:30,16:45,唐山海宜路1号站,656.2,1271.6,834.8,205.15,1,0
2025/5/28,16:15-16:30,16:15,16:30,唐山海宜路1号站,659.5,1435.8,946.5,237.52,1,0
2025/5/28,16:00-16:15,16:00,16:15,唐山海宜路1号站,657.1,1795,1179.8,289.34,0,0
2025/5/28,15:45-16:00,15:45,16:00,唐山海宜路1号站,658,1563.6,1028.3,254.64,2,0
2025/5/28,15:30-15:45,15:30,15:45,唐山海宜路1号站,653.9,1184.7,777.1,190.64,2,0
2025/5/28,15:15-15:30,15:15,15:30,唐山海宜路1号站,661.5,962.4,636.5,158.44,2,0
2025/5/28,15:00-15:15,15:00,15:15,唐山海宜路1号站,661.6,1379.4,915.2,223.03,1,0
2025/5/28,14:45-15:00,14:45,15:00,唐山海宜路1号站,656.4,924.9,608.2,150.74,0,0
2025/5/28,14:30-14:45,14:30,14:45,唐山海宜路1号站,655.3,1338.7,879.1,215.52,0,0
2025/5/28,14:15-14:30,14:15,14:30,唐山海宜路1号站,654,1155,756.7,185.53,1,0
