名称,路网节点,类型,X坐标,Y坐标
Station_1,86,SwapStation,0.47267102631179414,0.7846194242907534
Station_10,75,SwapStation,0.9951493566608947,0.6498780576394535
Station_2,62,SwapStation,0.0005718961279435053,0.3241560570046731
Station_3,119,SwapStation,0.5945191535334412,0.6193815103321031
Station_4,18,SwapStation,0.8294046642529949,0.6185197523642461
Station_5,117,SwapStation,0.2352038950009312,0.11988661394712419
Station_6,22,SwapStation,0.0797919769236275,0.23279088636103018
Station_7,93,SwapStation,0.8616725363527911,0.24865633392028563
Station_8,71,SwapStation,0.2650566289400591,0.8724330410852574
Station_9,110,SwapStation,0.9687093649691588,0.5791802908162562
