vehicle_id,home_depot,total_tasks,total_delivered_ton,unique_customers,total_distance_km,total_travel_time_h,total_energy_kwh,earliest_depart_h,latest_return_h,min_soc_kwh,end_soc_kwh,delivery_details
HDT_12,Depot_3,1,2.43,1,28.651408290271046,0.9550469430090349,24.661699685850806,0.0,1.25,175.3383003141492,175.3383003141492,Customer_33:2.43t/1单
HDT_1,Depot_1,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_2,Depot_4,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_3,Depot_2,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_4,Depot_5,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_5,Depot_4,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_6,Depot_5,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_7,Depot_5,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_8,Depot_1,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_9,Depot_2,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_10,Depot_2,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_11,Depot_5,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_13,Depot_3,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_14,Depot_2,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
HDT_15,Depot_4,0,0.0,0,0.0,0.0,0.0,,,200.0,200.0,
