arc_id,from_node,to_node,length_km,t0_h,capacity_veh_h,alpha,beta,free_speed_kmh,edge_kind,road_class,is_congested,congestion_time_penalty,flow_veh_h,bpr_time_h
0,0,52,3.124055766583747,0.05680101393788631,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,413.3333333333332,0.05692094290266209
1,52,0,3.124055766583747,0.05680101393788631,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,413.33333333333337,0.05692094290266209
2,0,24,2.5942241133374417,0.04716771115158985,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,374.6666666666667,0.04723494551592525
3,24,0,2.5942241133374417,0.04716771115158985,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,374.66666666666663,0.04723494551592525
4,0,2,3.784062845708723,0.06880114264924951,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,8.0,0.06880114266963504
5,2,0,3.784062845708723,0.06880114264924951,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,8.0,0.06880114266963504
6,0,41,6.070432973386268,0.11037150860702305,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,419.3333333333333,0.11061837433359213
7,41,0,6.070432973386268,0.11037150860702305,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,419.33333333333326,0.11061837433359213
8,0,20,6.273730092671854,0.11406781986676098,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,110.0,0.11406902795917322
9,20,0,6.273730092671854,0.11406781986676098,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,110.00000000000006,0.11406902795917322
10,1,61,3.645342198406789,0.06627894906194162,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,1713.3333333333333,0.10759410016678086
11,61,1,3.645342198406789,0.06627894906194162,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,1713.333333333333,0.10759410016678084
12,1,26,2.595014455707521,0.047182081012864016,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,1795.3333333333335,0.0826408573494345
13,26,1,2.595014455707521,0.047182081012864016,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,1795.333333333333,0.08264085734943447
14,1,47,4.485111733529232,0.08154748606416785,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,249.33333333333331,0.08157028414161435
15,47,1,4.485111733529232,0.08154748606416785,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,249.33333333333303,0.08157028414161435
16,1,9,1.4406457490521818,0.036016143726304545,600.0,0.15,4.0,40.0,knn,local,False,1.0,337.33333333333326,0.03655592833798383
17,9,1,1.4406457490521818,0.036016143726304545,600.0,0.15,4.0,40.0,knn,local,False,1.0,337.33333333333326,0.03655592833798383
18,1,40,3.3440178493607338,0.06080032453383152,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,362.0,0.060875852267712874
19,40,1,3.3440178493607338,0.06080032453383152,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,362.0,0.060875852267712874
20,1,37,9.838610116236701,0.17888382029521274,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,0.0,0.17888382029521274
21,37,1,9.838610116236701,0.17888382029521274,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,0.0,0.17888382029521274
22,1,66,5.020127413028402,0.09127504387324367,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,487.9999999999999,0.0916494971309435
23,66,1,5.020127413028402,0.09127504387324367,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,487.9999999999998,0.0916494971309435
24,2,41,5.4420987894295285,0.09894725071690051,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,8.0,0.09894725074621821
25,41,2,5.4420987894295285,0.09894725071690051,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,8.0,0.09894725074621821
26,2,24,5.449688560265821,0.09908524655028766,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,10.666666666666666,0.09908524664307532
27,24,2,5.449688560265821,0.09908524655028766,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,10.666666666666666,0.09908524664307532
28,2,52,6.477039963716162,0.1177643629766575,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,0.0,0.1177643629766575
29,52,2,6.477039963716162,0.1177643629766575,1200.0,0.15,4.0,55.0,knn,arterial,False,1.0,0.0,0.1177643629766575
