path_id,od_id,local_path_id,path_type,origin_customer_id,destination_customer_id,origin_node,destination_node,node_path,arc_path,path_length_km,free_flow_time_h,congested_arc_count,is_ev
0,0,0,shortest,Customer_1,Customer_69,1,9,"[1, 9]",[16],1.4406457490521818,0.036016143726304545,0,0
1,0,1,detour_2,Customer_1,Customer_69,1,9,"[1, 26, 9]","[12, 109]",3.750380806309855,0.07606623977792237,0,0
2,0,2,detour_3,Customer_1,Customer_69,1,9,"[1, 47, 9]","[14, 113]",7.554667493230754,0.13735759078601373,0,0
3,1,0,shortest,Customer_1,Customer_50,1,26,"[1, 26]",[12],2.595014455707521,0.047182081012864016,0,0
4,1,1,detour_2,Customer_1,Customer_50,1,26,"[1, 9, 26]","[16, 108]",2.5960120996545157,0.0649003024913629,0,0
5,1,2,detour_3,Customer_1,Customer_50,1,26,"[1, 47, 26]","[14, 263]",6.426013328586271,0.13007002594059386,0,0
6,2,0,shortest,Customer_1,Customer_30,1,47,"[1, 47]",[14],4.485111733529232,0.08154748606416785,0,0
7,2,1,detour_2,Customer_1,Customer_30,1,47,"[1, 9, 47]","[16, 112]",4.510201508753704,0.0918262484481504,0,0
8,2,2,detour_3,Customer_1,Customer_30,1,47,"[1, 26, 47]","[12, 262]",4.535916050764561,0.09570462088929,0,0
9,3,0,shortest,Customer_1,Customer_60,1,47,"[1, 47]",[14],4.485111733529232,0.08154748606416785,0,0
10,3,1,detour_2,Customer_1,Customer_60,1,47,"[1, 9, 47]","[16, 112]",4.510201508753704,0.0918262484481504,0,0
11,3,2,detour_3,Customer_1,Customer_60,1,47,"[1, 26, 47]","[12, 262]",4.535916050764561,0.09570462088929,0,0
12,4,0,shortest,Customer_1,Customer_65,1,47,"[1, 47]",[14],4.485111733529232,0.08154748606416785,0,0
13,4,1,detour_2,Customer_1,Customer_65,1,47,"[1, 9, 47]","[16, 112]",4.510201508753704,0.0918262484481504,0,0
14,4,2,detour_3,Customer_1,Customer_65,1,47,"[1, 26, 47]","[12, 262]",4.535916050764561,0.09570462088929,0,0
15,5,0,shortest,Customer_1,Customer_38,1,14,"[1, 26, 14]","[12, 165]",5.787701526462876,0.10523093684477956,0,0
