customer_id,customer_index,node_id,customer_count_on_node
Customer_1,0,39,2
Customer_2,1,44,3
Customer_3,2,77,3
Customer_4,3,44,3
Customer_5,4,19,2
Customer_6,5,56,3
Customer_7,6,78,2
Customer_8,7,13,2
Customer_9,8,39,2
Customer_10,9,29,1
Customer_11,10,10,1
Customer_12,11,67,1
Customer_13,12,61,2
Customer_14,13,6,1
Customer_15,14,74,1
Customer_16,15,18,1
Customer_17,16,40,2
Customer_18,17,53,2
Customer_19,18,57,1
Customer_20,19,12,2
Customer_21,20,24,2
Customer_22,21,65,1
Customer_23,22,79,1
Customer_24,23,47,1
Customer_25,24,34,1
Customer_26,25,12,2
Customer_27,26,44,3
Customer_28,27,38,1
Customer_29,28,20,1
Customer_30,29,31,1
Customer_31,30,40,2
Customer_32,31,36,1
Customer_33,32,77,3
Customer_34,33,19,2
Customer_35,34,73,2
Customer_36,35,68,3
Customer_37,36,75,2
Customer_38,37,78,2
Customer_39,38,66,2
Customer_40,39,77,3
Customer_41,40,53,2
Customer_42,41,56,3
Customer_43,42,24,2
Customer_44,43,46,1
Customer_45,44,68,3
Customer_46,45,5,1
Customer_47,46,43,1
Customer_48,47,27,1
Customer_49,48,66,2
Customer_50,49,42,1
Customer_51,50,64,1
Customer_52,51,0,1
Customer_53,52,15,1
Customer_54,53,75,2
Customer_55,54,56,3
Customer_56,55,68,3
Customer_57,56,17,1
Customer_58,57,73,2
Customer_59,58,13,2
Customer_60,59,61,2
