od_id,origin_customer_id,destination_customer_id,origin_customer_index,destination_customer_index,origin_node,destination_node,demand_veh_h,origin_time_window_type,origin_has_start_constraint,origin_start_time_h,origin_deadline_h,origin_demand_class,origin_task_demand,destination_time_window_type,destination_has_start_constraint,destination_start_time_h,destination_deadline_h,destination_demand_class,destination_task_demand,origin_ready_time_h,origin_due_time_h,destination_ready_time_h,destination_due_time_h,same_physical_node,od_type
0,Customer_1,Customer_2,0,1,39,44,8.0,before_20,False,,21.0,large,5.082,before_20,False,,19.5,medium,4.395,0.0,21.0,0.0,19.5,False,customer_to_customer
1,Customer_1,Customer_3,0,2,39,77,8.0,before_20,False,,21.0,large,5.082,business_hours,True,7.75,18.0,small,1.255,0.0,21.0,7.75,18.0,False,customer_to_customer
2,Customer_1,Customer_4,0,3,39,44,8.0,before_20,False,,21.0,large,5.082,before_20,False,,20.0,medium,2.249,0.0,21.0,0.0,20.0,False,customer_to_customer
3,Customer_1,Customer_5,0,4,39,19,8.0,before_20,False,,21.0,large,5.082,business_hours,True,8.0,17.75,medium,4.662,0.0,21.0,8.0,17.75,False,customer_to_customer
4,Customer_1,Customer_6,0,5,39,56,8.0,before_20,False,,21.0,large,5.082,all_day,False,,23.75,medium,4.742,0.0,21.0,0.0,23.75,False,customer_to_customer
5,Customer_1,Customer_7,0,6,39,78,8.0,before_20,False,,21.0,large,5.082,business_hours,True,8.75,17.5,medium,3.0,0.0,21.0,8.75,17.5,False,customer_to_customer
6,Customer_1,Customer_8,0,7,39,13,8.0,before_20,False,,21.0,large,5.082,business_hours,True,7.5,19.0,medium,4.333,0.0,21.0,7.5,19.0,False,customer_to_customer
7,Customer_1,Customer_9,0,8,39,39,8.0,before_20,False,,21.0,large,5.082,before_20,False,,20.75,small,1.776,0.0,21.0,0.0,20.75,True,customer_to_customer
8,Customer_1,Customer_10,0,9,39,29,8.0,before_20,False,,21.0,large,5.082,before_20,False,,20.5,medium,2.955,0.0,21.0,0.0,20.5,False,customer_to_customer
9,Customer_1,Customer_11,0,10,39,10,8.0,before_20,False,,21.0,large,5.082,before_18,False,,18.0,small,1.544,0.0,21.0,0.0,18.0,False,customer_to_customer
10,Customer_1,Customer_12,0,11,39,67,8.0,before_20,False,,21.0,large,5.082,afternoon_or_evening,True,12.5,23.0,large,5.593,0.0,21.0,12.5,23.0,False,customer_to_customer
11,Customer_1,Customer_13,0,12,39,61,8.0,before_20,False,,21.0,large,5.082,business_hours,True,8.0,19.0,large,7.817,0.0,21.0,8.0,19.0,False,customer_to_customer
12,Customer_1,Customer_14,0,13,39,6,8.0,before_20,False,,21.0,large,5.082,all_day,False,,22.75,large,6.263,0.0,21.0,0.0,22.75,False,customer_to_customer
