path_id,od_id,arc_id,value
0,0,362,1.0
0,0,405,1.0
0,0,157,1.0
0,0,158,1.0
1,0,358,1.0
1,0,303,1.0
1,0,304,1.0
1,0,153,1.0
1,0,158,1.0
2,0,358,1.0
2,0,303,1.0
2,0,304,1.0
2,0,383,1.0
2,0,381,1.0
3,1,358,1.0
3,1,452,1.0
4,1,147,1.0
4,1,144,1.0
5,1,360,1.0
5,1,412,1.0
6,2,362,1.0
6,2,405,1.0
6,2,157,1.0
6,2,158,1.0
7,2,358,1.0
7,2,303,1.0
7,2,304,1.0
7,2,153,1.0
7,2,158,1.0
8,2,358,1.0
8,2,303,1.0
8,2,304,1.0
8,2,383,1.0
8,2,381,1.0
9,3,358,1.0
9,3,219,1.0
10,3,360,1.0
10,3,217,1.0
11,3,358,1.0
11,3,411,1.0
11,3,217,1.0
12,4,358,1.0
12,4,452,1.0
12,4,427,1.0
12,4,434,1.0
12,4,421,1.0
13,4,358,1.0
13,4,452,1.0
13,4,427,1.0
13,4,185,1.0
13,4,190,1.0
13,4,421,1.0
14,4,147,1.0
14,4,144,1.0
14,4,427,1.0
14,4,434,1.0
14,4,421,1.0
15,5,358,1.0
15,5,452,1.0
15,5,427,1.0
15,5,434,1.0
16,5,358,1.0
16,5,452,1.0
16,5,427,1.0
16,5,185,1.0
16,5,190,1.0
17,5,147,1.0
17,5,144,1.0
17,5,427,1.0
17,5,434,1.0
18,6,362,1.0
18,6,405,1.0
18,6,157,1.0
19,6,358,1.0
19,6,303,1.0
19,6,304,1.0
19,6,153,1.0
20,6,147,1.0
20,6,148,1.0
20,6,304,1.0
20,6,153,1.0
22,8,293,1.0
23,8,358,1.0
23,8,295,1.0
24,8,360,1.0
24,8,297,1.0
25,9,358,1.0
25,9,303,1.0
25,9,33,1.0
25,9,36,1.0
25,9,53,1.0
25,9,46,1.0
25,9,395,1.0
25,9,121,1.0
26,9,358,1.0
26,9,452,1.0
26,9,427,1.0
26,9,428,1.0
26,9,11,1.0
26,9,12,1.0
26,9,165,1.0
26,9,170,1.0
26,9,125,1.0
27,9,147,1.0
27,9,148,1.0
27,9,33,1.0
27,9,36,1.0
27,9,53,1.0
27,9,46,1.0
27,9,395,1.0
27,9,121,1.0
28,9,358,1.0
28,9,303,1.0
28,9,300,1.0
28,9,389,1.0
28,9,53,1.0
28,9,46,1.0
28,9,395,1.0
28,9,121,1.0
29,10,358,1.0
29,10,303,1.0
29,10,33,1.0
29,10,36,1.0
29,10,53,1.0
29,10,46,1.0
29,10,395,1.0
29,10,121,1.0
29,10,132,1.0
30,10,358,1.0
30,10,452,1.0
30,10,427,1.0
30,10,428,1.0
30,10,11,1.0
30,10,12,1.0
30,10,165,1.0
30,10,172,1.0
30,10,322,1.0
31,10,147,1.0
31,10,148,1.0
31,10,33,1.0
31,10,36,1.0
31,10,53,1.0
31,10,46,1.0
31,10,395,1.0
31,10,121,1.0
31,10,132,1.0
32,10,358,1.0
32,10,303,1.0
32,10,300,1.0
32,10,389,1.0
32,10,53,1.0
32,10,46,1.0
32,10,395,1.0
32,10,121,1.0
32,10,132,1.0
33,11,358,1.0
33,11,452,1.0
33,11,427,1.0
33,11,428,1.0
34,11,358,1.0
34,11,452,1.0
34,11,427,1.0
34,11,185,1.0
34,11,188,1.0
35,11,147,1.0
35,11,144,1.0
35,11,427,1.0
35,11,428,1.0
36,12,81,1.0
37,12,362,1.0
37,12,77,1.0
38,12,362,1.0
38,12,225,1.0
38,12,75,1.0
39,13,358,1.0
39,13,303,1.0
39,13,33,1.0
39,13,36,1.0
39,13,53,1.0
39,13,50,1.0
39,13,204,1.0
40,13,358,1.0
40,13,303,1.0
40,13,300,1.0
40,13,389,1.0
40,13,53,1.0
40,13,50,1.0
40,13,204,1.0
41,13,147,1.0
41,13,148,1.0
41,13,33,1.0
41,13,36,1.0
41,13,53,1.0
41,13,50,1.0
41,13,204,1.0
42,13,358,1.0
42,13,303,1.0
42,13,33,1.0
42,13,36,1.0
42,13,213,1.0
42,13,206,1.0
42,13,308,1.0
43,14,358,1.0
