task_id,customer_id,customer_index,node_id,time_window_type,has_start_constraint,start_time_h,deadline_h,window_note,ready_time_h,due_time_h,time_window_width_h,service_time_h,demand_class,demand
Task_34,Customer_34,33,19,before_12,False,,11.5,Deadline around noon,0.0,11.5,11.5,0.5,small,1.372
Task_52,Customer_52,51,0,before_12,False,,11.75,Deadline around noon,0.0,11.75,11.75,0.75,large,6.981
Task_46,Customer_46,45,5,before_12,False,,12.0,Deadline around noon,0.0,12.0,12.0,0.75,medium,3.084
Task_30,Customer_30,29,31,before_12,False,,13.0,Deadline around noon,0.0,13.0,13.0,0.75,medium,4.581
Task_16,Customer_16,15,18,before_18,False,,17.25,Deadline around late afternoon,0.0,17.25,17.25,0.5,large,6.366
Task_18,Customer_18,17,53,before_18,False,,17.25,Deadline around late afternoon,0.0,17.25,17.25,0.75,small,0.834
Task_25,Customer_25,24,34,before_18,False,,17.25,Deadline around late afternoon,0.0,17.25,17.25,0.5,medium,4.457
Task_32,Customer_32,31,36,before_18,False,,17.25,Deadline around late afternoon,0.0,17.25,17.25,0.75,small,1.462
Task_57,Customer_57,56,17,before_18,False,,17.25,Deadline around late afternoon,0.0,17.25,17.25,0.5,medium,4.186
Task_15,Customer_15,14,74,business_hours,True,7.5,17.25,Service during approximate business hours,7.5,17.25,9.75,0.75,large,7.293
Task_22,Customer_22,21,65,business_hours,True,8.5,17.25,Service during approximate business hours,8.5,17.25,8.75,0.75,medium,3.604
Task_41,Customer_41,40,53,business_hours,True,7.5,17.25,Service during approximate business hours,7.5,17.25,9.75,0.5,large,5.106
Task_21,Customer_21,20,24,before_18,False,,17.5,Deadline around late afternoon,0.0,17.5,17.5,0.75,medium,3.927
Task_7,Customer_7,6,78,business_hours,True,8.75,17.5,Service during approximate business hours,8.75,17.5,8.75,0.75,medium,3.0
Task_5,Customer_5,4,19,business_hours,True,8.0,17.75,Service during approximate business hours,8.0,17.75,9.75,0.75,medium,4.662
Task_20,Customer_20,19,12,business_hours,True,8.25,17.75,Service during approximate business hours,8.25,17.75,9.5,0.75,medium,3.662
Task_39,Customer_39,38,66,business_hours,True,8.75,17.75,Service during approximate business hours,8.75,17.75,9.0,0.5,small,1.672
Task_43,Customer_43,42,24,business_hours,True,7.5,17.75,Service during approximate business hours,7.5,17.75,10.25,0.5,large,7.914
Task_55,Customer_55,54,56,business_hours,True,7.75,17.75,Service during approximate business hours,7.75,17.75,10.0,0.5,small,1.087
Task_11,Customer_11,10,10,before_18,False,,18.0,Deadline around late afternoon,0.0,18.0,18.0,0.5,small,1.544
Task_3,Customer_3,2,77,business_hours,True,7.75,18.0,Service during approximate business hours,7.75,18.0,10.25,0.75,small,1.255
Task_40,Customer_40,39,77,business_hours,True,7.75,18.0,Service during approximate business hours,7.75,18.0,10.25,0.5,large,5.785
